67,125
68,140
67,142
60,110
64,97
61,106
79,210
61,110
71,150
66,145
60,113
71,175
72,145
55,110
64,112
65,135
65,135
71,140
68,130
71,152
67,127
70,143
68,165
72,160
71,185
65,114
67,116
66,113
63,145
62,116
71,155
64,107
64,104
69,137
75,200
65,150
67,140
65,125
75,240
57,140
68,135
73,178
68,122
62,145
68,190
74,180
63,125
73,165
66,115
68,125
72,210
63,118
65,135
75,225
69,145
72,240
69,170
62,105
64,125
63,130
78,190
63,115
73,280
69,125
63,120
63,145
63,132
70,195
69,168
61,105
65,112
72,215
69,150
70,150
67,125
64,135
70,185
71,127
72,178
66,123
66,145
71,135
68,135
67,145
67,145
69,193
66,125
71,148
65,125
62,120
65,119
68,160
67,140
63,115
64,125
61,95
62,126
63,165
70,167
73,250
74,280
79,180
71,175
63,120
73,125
70,156
75,185
62,130
67,140
65,120
66,140
69,155
60,105
67,125
65,115
66,130
69,170
73,247
74,172
65,147
62,140
64,120
63,110
65,115
61,115
73,165
74,180
72,182
65,130
73,160
74,190
75,180
70,165
62,140
68,165
57,125
72,160
66,128
65,115
63,135
66,118
74,130
64,130
67,140
71,174
60,118
65,133
62,107
64,145
66,150
71,165
69,143
70,155
64,138
62,147
77,245
62,130
69,135
70,150
71,135
72,160
68,110
69,155
63,96
65,140
67,120
67,130
73,155
63,105
73,160
63,112
68,125
69,132
69,175
63,150
64,105
69,135
63,134
64,115
63,123
67,170
71,162
68,140
64,115
73,205
68,130
67,145
61,125
69,180
66,135
64,140
76,185
64,135
63,127
62,115
62,135
71,142
67,140
68,135
71,178
67,135
64,127
70,153
62,110
73,165
79,165
75,160
71,170
65,117
70,185
